Date,return
31/1/2016,0.04605157
29/2/2016,0.006752386
31/3/2016,-0.012093013
30/4/2016,-0.014165808
31/5/2016,0.010260886
30/6/2016,0.015466019
31/7/2016,-0.023320941
31/8/2016,-0.017446644
30/9/2016,0.000630773
31/10/2016,-0.000188519
30/11/2016,-0.05257627
31/12/2016,-0.001367152
31/1/2017,-0.000777529
28/2/2017,-0.005194994
31/3/2017,0.016435668
30/4/2017,0.003724451
31/5/2017,0.035210445
30/6/2017,-0.007115208
31/7/2017,0.014998207
31/8/2017,0.002720861
30/9/2017,-0.020614848
31/10/2017,0.020398857
30/11/2017,0.003321957
31/12/2017,-0.02288576
31/1/2018,0.028790195
28/2/2018,0.01018901
31/3/2018,0.003168021
30/4/2018,0.01095643
31/5/2018,0.028052002
30/6/2018,0.017909969
31/7/2018,-0.015479927
31/8/2018,0.033381144
30/9/2018,-0.005244578
31/10/2018,-0.016805642
30/11/2018,0.020046093
31/12/2018,0.008919653
31/1/2019,-0.002794941
28/2/2019,-0.009979599
31/3/2019,-0.004437914
30/4/2019,-0.004439499
31/5/2019,0.014350888
30/6/2019,-0.009423074
31/7/2019,-0.008340873
31/8/2019,0.036418252
30/9/2019,-0.015454803
31/10/2019,0.000289628
30/11/2019,0.018903115
31/12/2019,0.002029728
31/1/2020,0.026057946
29/2/2020,0.021895459
31/3/2020,0.014053083
30/4/2020,0.009820782
31/5/2020,0.022793689
30/6/2020,0.013117338
31/7/2020,0.017840797
31/8/2020,0.027391026
30/9/2020,0.023080194
31/10/2020,-0.00731588
30/11/2020,-0.05701506
31/12/2020,-0.015633237